"skjemanavn";"navn_i_rapporteket";"ledetekst";"obligatorisk";"type";"listeverdier";"listetekst";"normalintervall_start_numerisk";"normalintervall_slutt_numerisk";"maksintervall_start_numerisk";"maksintervall_slutt_numerisk";"normalintervall_start_dato";"normalintervall_slutt_dato";"maksintervall_start_dato";"maksintervall_slutt_dato";"antall_tegn";"lovlige_tegn";"desimaler";"aktiveringsspoersmaal";"underspoersmaal";"innfoert_dato";"utfaset_dato";"tabell";"fysisk_feltnavn";"kommentar";"variabel_id";"hjelpetekst"
"Medisinske opplysninger";"DatoForInnhenti";"Dato for innhenting av opplysninger";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"'1980-01-01'";"today";;;;"Nei";"Nei";"1980-01-01";"";"registration";"REGISTRATION_DATE";;"REGISTRATION_REGISTRATION_DATE";""
"Medisinske opplysninger";;"Høyde";"Ja";"Tallvariabel";"";"";120;215;100;300;"";"";"";"";3;;"0";"Nei";"Nei";"1980-01-01";"";"registration";"HIGHT";;"REGISTRATION_HIGHT";"Skriv inn pasientens høyde i cm (uten desimal). Max antall siffer er tre. Eksmpel: Pasient som er 1,87 meter høy: 187"
"Medisinske opplysninger";;"Alder ved første byll";"Ja";"Tallvariabel";"";"";"";"";"0";60;"";"";"";"";2;;"0";"Nei";"Nei";"1980-01-01";"";"registration";"AGE_ABSCESS";;"REGISTRATION_AGE_ABSCESS";"Hvor gammel var pasienten da han/hun fikk en byll for første gang i lysker eller armhuler. Skriv alder som heltall og i antall år, på formatet yy. Eksempel Pasient som er 18 år: 18"
"Medisinske opplysninger";;"Hvor gammel var du da du først oppsøkte allmennlege pga byller?";"Ja";"Tallvariabel";"";"";9;90;"0";99;"";"";"";"";3;;"0";"Nei";"Nei";"2016-09-12";"";"registration";"AGE_DOCTOR";;"REGISTRATION_AGE_DOCTOR";"Hvor gammel var du da du første gang oppsøkte lege på grunn av byllene? Skriv alder som heltall og i antall år, på formatet yy. Eksempel 18 år: 18"
"Medisinske opplysninger";;"Hvor gammel var du da du fikk diagnosen HS av hudspesialist?";"Ja";"Tallvariabel";"";"";12;80;"0";99;"";"";"";"";3;;"0";"Nei";"Nei";"2016-09-12";"";"registration";"AGE_SPECIALIST";;"REGISTRATION_AGE_SPECIALIST";"Hvor gammel var du da du fikk diagnosen HS av hudspesialist? Skriv alder som heltall og i antall år, på formatet yy. Eksempel 18 år: 18"
"Medisinske opplysninger";;"Hvor lang tid tok det fra du gikk til din fastlege første gang for dette til du ble henvist til spesialist?";"Nei";"Tallvariabel";"";"";1;10;"0";99;"";"";"";"";3;;"0";"Nei";"Nei";"1980-01-01";"2016-09-11";"registration";"TIME_SPECIALIST";;"REGISTRATION_TIME_SPECIALIST";"Hvor lang tid tok det fra du gikk til din fastlege første gang for dette til du ble henvist til spesialist? Skriv antall måneder som heltal på formatet MM Eksempel 1 år og 2 måneder: 14"
"Medisinske opplysninger";;"Kirurgi";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"registration";"SURGERY";;"REGISTRATION_SURGERY";"Har pasienten vært laser- eller knivoperert for Hidradenitis Suppurativa før inklusjon?"
"Medisinske opplysninger";;"Kirurgi";"Ja";"Listevariabel";1;"Ja";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"registration";"SURGERY";;"REGISTRATION_SURGERY";"Har pasienten vært laser- eller knivoperert for Hidradenitis Suppurativa før inklusjon?"
"Medisinske opplysninger";;"Kirurgi";"Ja";"Listevariabel";9;"Vet ikke";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"registration";"SURGERY";;"REGISTRATION_SURGERY";"Har pasienten vært laser- eller knivoperert for Hidradenitis Suppurativa før inklusjon?"
"Medisinske opplysninger";;"Fjerning";"Nei";"Avkrysningsboks";"";"";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"registration";"SURGERY_FJERNING";;"REGISTRATION_SURGERY_FJERNING";""
"Medisinske opplysninger";;"Tømming";"Nei";"Avkrysningsboks";"";"";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"registration";"SURGERY_TOMMING";;"REGISTRATION_SURGERY_TOMMING";""
"Medisinske opplysninger";;"CO₂-laser";"Nei";"Avkrysningsboks";"";"";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"registration";"SURGERY_CO2LASER";;"REGISTRATION_SURGERY_CO2LASER";""
"Medisinske opplysninger";;"Deroofing";"Nei";"Avkrysningsboks";"";"";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"registration";"SURGERY_DEROOFING";;"REGISTRATION_SURGERY_DEROOFING";""
"Medisinske opplysninger";;"Annen";"Nei";"Avkrysningsboks";"";"";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"registration";"SURGERY_OTHER";;"REGISTRATION_SURGERY_OTHER";""
"Medisinske opplysninger";;"Vet ikke";"Nei";"Avkrysningsboks";"";"";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"registration";"SURGERY_UNKNOWN";;"REGISTRATION_SURGERY_UNKNOWN";""
"Medisinske opplysninger";;"Bruker du eller har brukt noen av følgende medisinene for din Hidradenitis Suppurativa?";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"registration";"MEDICATION_HISTORY_HS";;"REGISTRATION_MEDICATION_HISTORY_HS";"Bruker du eller har brukt noen av følgende medisinene for din Hidradenitis Suppurativa?"
"Medisinske opplysninger";;"Bruker du eller har brukt noen av følgende medisinene for din Hidradenitis Suppurativa?";"Ja";"Listevariabel";1;"Ja";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"registration";"MEDICATION_HISTORY_HS";;"REGISTRATION_MEDICATION_HISTORY_HS";"Bruker du eller har brukt noen av følgende medisinene for din Hidradenitis Suppurativa?"
